"name","address","longitude","latitude","bike_stands","available_bike_stands","available_bikes"
"15048 - OLIVIER DE SERRE","PLACE AMEDEE GIORDANI - 75015 PARIS",2.2920463967,48.8305456694,22,20,2
"14017 - JOURDAN TOMBE ISSOIRE","160 RUE TOMBE ISSOIRE - 75014 PARIS",2.33053754038,48.822782442,43,40,3
"11036 - JULES FERRY FAUBOURG DU TEMPLE","FACE 28 RUE JULES FERRY - 75011 PARIS",2.36784149724,48.8684101048,58,1,57
"05004 - SAINT JACQUES VAL DE GRACE","272 RUE SAINT JACQUES - 75005 PARIS",2.34120202666,48.8418659565,19,18,1
"14012 - SIBELLE ALESIA","FACE 2 AVENUE DE LA SIBELLE - 75014 PARIS",2.33863632416,48.8267039412,24,13,11
"42007 - PIERRE ET MARIE CURIE (IVRY)","Angle Avenue de Verdun et rue Pierre et Marie Curie - 94200 IVRY",2.37065026342,48.8128905615,28,20,8
"23006 - GUESDE (LEVALLOIS)","8 RUE JULES GUESDE - 92300 LEVALLOIS-PERRET",2.29500037014,48.8908603229,25,0,25
"03014 - GRENIER SAINT LAZARE","FACE 34 RUE GRENIER SAINT LAZARE - 75003 PARIS",2.35283938072,48.8630628327,31,0,31
"06026 - SAINT PLACIDE CHERCHE MIDI","28 RUE SAINT PLACIDE - 75006 PARIS",2.32517538941,48.8491399032,66,23,43
"22010 - DE GAULLE 4 (NEUILLY)","72 AVENUE CHARLES DE GAULLE - 92200 NEUILLY SUR SEINE",2.27117749892,48.881674446,27,14,13
"14014 - STADE CHARLETY","5 BOULEVARD JOURDAN - 75014 PARIS",2.34337661053,48.8194013049,60,6,54
"12005 - CROZATIER","74 RUE CROZATIER - 75012 PARIS",2.37890136621,48.8504400134,30,7,22
"15106 - GRENELLE VIOLET (PROP3)","BOULEVARD DE GRENELLE - 75015 PARIS",2.29466057588,48.8499211019,67,16,51
"18043 - BLANCHE","55 BOULEVARD DE CLICHY - 75018 PARIS",2.33341862941,48.8835647449,20,12,8
"17015 - PLACE DE LEVIS","19BIS/21 RUE LEGENDRE - 75017 PARIS",2.3132844054,48.8836882175,49,20,28
"42011 - BOYER (IVRY)","26 QUAI MARCEL BOYER - 94200 IVRY",2.39285038241,48.8221153438,29,22,7
"05009 - SQUARE VIVIANI","6 RUE DU FOUARRE - 75005 PARIS",2.34746333452,48.8516511794,16,2,13
"21208 - CARVES (MONTROUGE)","67 RUE CARVES ANGLE AVENUE HENRI GINOUX - 92120 MONTROUGE",2.31978793669,48.8130809114,30,28,2
"18023 - POISSONNIERS ORDENER","57 RUE ORDENER - 75018 PARIS",2.35128866622,48.8912138908,34,30,4
"18047 - ST OUEN LAMARCK","53 AVENUE DE SAINT OUEN - 75018 PARIS",2.32673569484,48.8910830403,33,19,14
"03005 - TURBIGO SAINTE ELISABETH","7 RUE SAINTE ELISABETH - 75003 PARIS",2.35966114363,48.8661372246,33,9,24
"18031 - ALBERT KAHN","67 RUE CHAMPIONNET - 75018 PARIS",2.34558558413,48.8957969798,46,30,15
"20028 - GAMBETTA MARTIN NADAUD","FACE 2 RUE ORFILA - 75020 PARIS",2.39446858114,48.8651864128,49,48,1
"42205 - PARIS 1 (CHARENTON)","89 RUE DE PARIS - 94220 CHARENTON",2.41260278647,48.8221431258,22,11,11
"21704 - REPUBLIQUE (VANVES)","2 RUE DE LA REPUBLIQUE - 92170 VANVES",2.28539562483,48.8217026999,25,25,0
"12020 - COURS DE VINCENNES - BD SOULT","FACE 118 COURS DE VINCENNES - 75012 PARIS",2.41014549656,48.84698907,45,44,1
